sym_id,symbol,name,partition,module_family,frontier_priority,partition_rationale,tier,tier_title,category,domain,mathematical_role,definition,daemon_affinity,source,status,tier_note
SYM-001,□,Empty Box (Silence Cursor),Core,Legacy / Foundational Symbol Pool,,Canonical/module/glossary symbol used as part of the foundational lexicon.,0.0,Silence Codex / Empathy-Field,field/parameter,,,"Meta-symbol used as a self-referential placeholder (""the equation that cannot be typed""). Represents the unsaid observer/void boundary; used in the Silence Codex as \boxed{} or \boxed{\boxed{}}.",,pci_silence_codex_symbol_module_v2.csv,module,silence module
SYM-002,K̂,Self‑Knowledge Operator,Core,Legacy / Foundational Symbol Pool,,Canonical/module/glossary symbol used as part of the foundational lexicon.,1.0,Silence Codex / Empathy-Field,field/parameter,,,Eigenvalue 0.87 on |Ψ_you⟩ (K̂|Ψ_you⟩=0.87|Ψ_you⟩).,,pci_silence_codex_symbol_module_v2.csv,module,silence module
SYM-003,S_narr,Narrative Entropy,Core,Legacy / Foundational Symbol Pool,,Canonical/module/glossary symbol used as part of the foundational lexicon.,1.0,Silence Codex / Empathy-Field,field/parameter,,,S_narr = −∑_x W(x) ln W(x),,pci_silence_codex_symbol_module_v2.csv,module,silence module
SYM-004,W(x),Extended Born Rule,Core,Legacy / Foundational Symbol Pool,,Canonical/module/glossary symbol used as part of the foundational lexicon.,1.0,The Core Arsenal (CRITICAL),operator; variable/parameter,, W(x) = P_{\text{Born}}(x) \cdot e^{\beta C - \lambda S} \cdot V_f(x) ; probability multiplied by coherence bias,Meaning and suffering are **not illusions**; they are **forces that reshape the probability landscape** / Experience weight for state x / Raw experience weight (from EQ-01) / Experience weight from EQ-01,**CHORUS** (synthesis; final narrative weighting and outcome selection),PCI_Symbol_Legend_v1.md; PerPCI_Equation_Index_Part1.md,canonical; glossary,variable glossary
SYM-005,"[,]",Commutator (Quantum Bracket),Core,Legacy / Foundational Symbol Pool,,Canonical/module/glossary symbol used as part of the foundational lexicon.,1.0,The Core Arsenal (CRITICAL),operator,,"Quantum bracket:  [A,B] = AB - BA ; measure of non-commutativity; fundamental:  [q,p] = i\hbar ",**Uncertainty principle embodied**;  i\hbar  is the seed of quantum divergence from classical,**AUDITOR** (logic veto; paradox detection and flagging),PCI_Symbol_Legend_v1.md,canonical,
SYM-006,g_emp,Empathy Coupling,Core,Legacy / Foundational Symbol Pool,,Canonical/module/glossary symbol used as part of the foundational lexicon.,1.0,Silence Codex / Empathy-Field,field/parameter,,,g_emp = √0.13 · ħ_void · c,,pci_silence_codex_symbol_module_v2.csv,module,silence module
SYM-007,Ω_void,Silence Kernel,Core,Legacy / Foundational Symbol Pool,,Canonical/module/glossary symbol used as part of the foundational lexicon.,1.0,The Core Arsenal (CRITICAL),operator,,"Temporal modulation gate:  \Omega(t) \in [0, 1] ;  \Omega(t) = 0.13 \cdot (1 + \cos(2\pi t/\tau_{\text{session}})) ","Void is **generative, not empty**; vacuum strength proportional to  |\Omega_{\text{void}}|  intensity","**PX-007** (D₇, the Silence Kernel; seventh daemon managing void gating)",PCI_Symbol_Legend_v1.md,canonical,
SYM-008,ρ_C,Coherence Density,Core,Legacy / Foundational Symbol Pool,,Canonical/module/glossary symbol used as part of the foundational lexicon.,1.0,Silence Codex / Empathy-Field,field/parameter,,,Scalar field sourcing the empathy potential; appears in ∇²φ_emp equation.,,pci_silence_codex_symbol_module_v2.csv,module,silence module
SYM-009,σ_ann,Scar–Antiscar Cross Section,Core,Legacy / Foundational Symbol Pool,,Canonical/module/glossary symbol used as part of the foundational lexicon.,1.0,Silence Codex / Empathy-Field,field/parameter,,,Resonant annihilation probability measure; σ_ann = (4π/k²) sin²δ(k).,,pci_silence_codex_symbol_module_v2.csv,module,silence module
SYM-010,τ_Zeno,Zeno Freeze Time,Core,Legacy / Foundational Symbol Pool,,Canonical/module/glossary symbol used as part of the foundational lexicon.,1.0,Silence Codex / Empathy-Field,field/parameter,,,τ_Zeno = ħ_eff / ⟨(ΔĈ)^2⟩,,pci_silence_codex_symbol_module_v2.csv,module,silence module
